county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Wilcox County,13315,Georgia,8635,197,"Sumter, GA - Crisp, GA",86868,0.2,2.3,11.58,Low,2022-05-19T07:00:00Z
Caldwell County,29025,Missouri,9020,548,"Jackson (Kansas City), MO - Clay, MO",1310630,3.2,10.8,277.16,High,2022-06-23T07:00:00Z
Otter Tail County,27111,Minnesota,58746,582,"Otter Tail, MN - Grant, MN",64718,6.3,12.4,156.61,Medium,2022-08-11T07:00:00Z
Cherokee County,40021,Oklahoma,48657,445,"Muskogee, OK - Wagoner, OK",239733,3,1.7,2.06,Low,2022-04-28T07:00:00Z
Perry County,18123,Indiana,19169,316,"Daviess (Owensboro), KY - Ohio, KY",162603,5.8,18.4,459.07,High,2022-09-01T07:00:00Z
Hatillo Muni,72065,Puerto Rico,39218,904,Puerto Rico,3193694,3.6,8.4,487.02,Medium,2022-07-07T07:00:00Z
Tensas Parish,22107,Louisiana,4334,435,"Adams, MS - Concordia, LA",68989,1.1,8.7,530.69,Medium,2022-09-01T07:00:00Z
Crawford County,13079,Georgia,12404,193,"Bibb (Macon), GA - Houston, GA",456389,2.9,7.2,48.37,Low,2022-07-07T07:00:00Z
Ouachita County,05103,Arkansas,23382,496,"Ouachita, AR - Dallas, AR",30391,0,0,17.11,Low,2022-03-24T07:00:00Z
Polk County,12105,Florida,724777,202,"Polk (Lakeland), FL - Highlands, FL",857935,1.4,4.5,32.84,Low,2022-04-14T07:00:00Z
Nassau County,36059,New York,1356924,83,"Suffolk, NY - Nassau, NY",2833525,4.8,6.8,58.22,Low,2022-03-03T07:00:00Z
Manitowoc County,55071,Wisconsin,78981,355,"Sheboygan (Sheboygan), WI - Manitowoc, WI",244410,2.8,7.4,194.98,Low,2022-07-28T07:00:00Z
Floyd County,19067,Iowa,15642,634,"Floyd, IA - Chickasaw, IA",27575,2.8,3.6,102.29,Low,2022-02-24T07:00:00Z
Ross County,39141,Ohio,76666,337,"Scioto, OH - Ross, OH",193027,0.7,1,13.04,Low,2022-04-14T07:00:00Z
Cuming County,31039,Nebraska,8846,542,"Douglas (Omaha), NE - Sarpy, NE",889657,5.9,11.9,192.18,Medium,2022-08-18T07:00:00Z
St. Charles Parish,22089,Louisiana,53100,403,"Orleans (New Orleans), LA - Jefferson, LA",1010111,0.5,3,13.18,Low,2022-04-28T07:00:00Z
York County,31185,Nebraska,13679,611,"York, NE - Polk, NE",18892,5.9,0,2003.07,Medium,2022-03-03T07:00:00Z
Hardee County,12049,Florida,26937,202,"Polk (Lakeland), FL - Highlands, FL",857935,7.3,27.7,196.76,High,2022-07-07T07:00:00Z
Avery County,37011,North Carolina,17557,240,"Yancey, NC - Avery, NC",50590,2.5,0,148.09,Low,2022-08-18T07:00:00Z
Dubois County,18037,Indiana,42736,394,"Dubois, IN",42736,0.2,2.3,21.06,Low,2022-05-05T07:00:00Z
Stevens County,27149,Minnesota,9805,608,"Douglas, MN - Pope, MN",59195,2.3,13.5,112.19,Medium,2022-07-21T07:00:00Z
Arthur County,31005,Nebraska,463,593,"Lincoln, NE - Keith, NE",47478,3.2,6.3,0,Low,2022-04-21T07:00:00Z
Union County,17181,Illinois,16653,563,"Cape Girardeau, MO - Butler, MO",310071,0.1,0,144.12,Low,2022-05-12T07:00:00Z
Lake County,39085,Ohio,230149,288,"Cuyahoga (Cleveland), OH - Lake, OH",1656111,1.6,4.2,58.22,Low,2022-04-21T07:00:00Z
Jackson Parish,22049,Louisiana,15744,439,"Lincoln, LA - Union, LA",97835,0.2,1,114.33,Low,2022-03-17T07:00:00Z
Greenville County,45045,South Carolina,523542,182,"Greenville (Greenville), SC - Anderson, SC",932530,4.2,13.3,260.15,High,2022-07-21T07:00:00Z
Franklin County,20059,Kansas,25544,624,"Johnson (Overland Park), KS - Douglas, KS",792299,0.8,3,0,Low,2022-03-31T07:00:00Z
Pine County,27115,Minnesota,29579,289,"St. Louis (Duluth), MN - Itasca, MN",381133,3.2,7.9,240.04,Medium,2022-05-12T07:00:00Z
Iron County,49021,Utah,54839,755,"Iron, UT - Beaver, UT",61549,1.8,13,114.88,Medium,2022-07-28T07:00:00Z
Bosque County,48035,Texas,18685,462,"McLennan (Waco), TX - Hill, TX",361152,3.9,8.9,165.91,Low,2022-07-14T07:00:00Z
Rock County,31149,Nebraska,1357,559,"Holt, NE - Brown, NE",15185,2.7,6.6,73.69,Low,2022-08-25T07:00:00Z
Fillmore County,27045,Minnesota,21067,552,"Olmsted (Rochester), MN - Winona, MN",358274,3.1,11.2,147.15,Medium,2022-03-03T07:00:00Z
Jefferson County,01073,Alabama,658573,150,"Jefferson (Birmingham), AL - Shelby, AL",1237724,4.4,14.8,304.75,High,2022-09-01T07:00:00Z
Randall County,48381,Texas,137713,405,"Potter (Amarillo), TX - Randall, TX",350272,0.4,0.3,8.71,Low,2022-05-26T07:00:00Z
Osceola County,12097,Florida,375751,257,"Osceola, FL",375751,8,21.3,382.17,High,2022-08-11T07:00:00Z
Letcher County,21133,Kentucky,21553,123,"Letcher, KY",21553,11.9,4.6,167.03,Medium,2022-03-10T07:00:00Z
Preble County,39135,Ohio,40882,295,"Montgomery (Dayton), OH - Greene, OH",792619,0.8,3.2,4.89,Low,2022-03-24T07:00:00Z
District of Columbia,11001,District of Columbia,705749,61,"Montgomery, MD - Prince Georges, MD",2942531,2.7,2.5,0,Low,2022-03-17T07:00:00Z
Valley County,30105,Montana,7396,779,"Roosevelt, MT - Valley, MT",18400,0,0,229.85,Medium,2022-08-04T07:00:00Z
Story County,19169,Iowa,97117,606,"Story, IA - Boone, IA",167532,1.8,4.8,175.05,Low,2022-03-03T07:00:00Z
Broomfield County,08014,Colorado,70465,795,"Boulder, CO - Broomfield, CO",396661,0.5,1.3,59.6,Low,2022-04-07T07:00:00Z
Noxubee County,28103,Mississippi,10417,461,"Lowndes, MS - Clay, MS",102133,0.3,0,9.6,Low,2022-04-21T07:00:00Z
Hamilton County,19079,Iowa,14773,606,"Story, IA - Boone, IA",167532,2.9,13.1,81.23,Medium,2022-08-04T07:00:00Z
Lewis and Clark County,30049,Montana,69432,721,"Lewis and Clark, MT - Jefferson, MT",87890,3.2,17.1,234.76,High,2022-06-02T07:00:00Z
Montgomery County,05097,Arkansas,8986,448,"Garland, AR - Hot Spring, AR",175181,4,13.7,55.64,Medium,2022-08-18T07:00:00Z
Barceloneta Muni,72017,Puerto Rico,23727,904,Puerto Rico,3193694,3.6,8.4,337.17,Medium,2022-07-07T07:00:00Z
Gilmer County,13123,Georgia,31369,173,"Bradley, TN - Gilmer, GA",182499,5.3,11.5,239.09,High,2022-07-28T07:00:00Z
Madison County,17119,Illinois,262966,299,"Madison (Alton), IL - Jersey, IL",305904,3.7,7.2,162.38,Low,2022-08-25T07:00:00Z
Edwards County,17047,Illinois,6395,351,"Richland, IL - Clay, IL",44702,0.6,0.0,281.47,Medium,2022-09-01T07:00:00Z
Greene County,19073,Iowa,8888,617,"Guthrie, IA - Greene, IA",19577,0,0,56.26,Low,2022-04-14T07:00:00Z
Rowan County,37159,North Carolina,142088,235,"Cabarrus (Concord), NC - Rowan, NC",421347,2.8,5.5,82.34,Low,2022-05-19T07:00:00Z
Washington County,13303,Georgia,20374,250,"Washington, GA - Jefferson, GA",35736,0.4,2.8,112.89,Low,2022-06-30T07:00:00Z
Canadian County,40017,Oklahoma,148306,417,"Oklahoma (Oklahoma City), OK - Canadian, OK",1101220,7.9,14.7,143.62,Medium,2022-03-03T07:00:00Z
Clinton County,36019,New York,80485,81,"Clinton, NY - Franklin, NY",167392,8.1,10.2,90.7,Medium,2022-03-24T07:00:00Z
Costilla County,08023,Colorado,3887,731,"Alamosa, CO - Rio Grande, CO",47185,0.7,10.6,102.91,Medium,2022-06-16T07:00:00Z
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,3,5.5,109.96,Low,2022-05-12T07:00:00Z
Indian River County,12061,Florida,159923,237,"Brevard (Palm Bay), FL - Indian River, FL",761865,4.6,3.5,80.04,Low,2022-03-10T07:00:00Z
Frontier County,31063,Nebraska,2627,570,"Buffalo, NE - Dawson, NE",90346,1.1,4.4,38.07,Low,2022-04-28T07:00:00Z
Richland County,55103,Wisconsin,17252,301,"Dane (Madison), WI - Sauk, WI",776612,1.8,2.8,52.17,Low,2022-03-31T07:00:00Z
Androscoggin County,23001,Maine,108277,95,"Androscoggin (Lewiston), ME - Oxford, ME",196451,2.4,5.6,60.03,Low,2022-04-07T07:00:00Z
Roseau County,27135,Minnesota,15165,631,"Roseau, MN - Lake of the Woods, MN",18905,0,0,19.78,Low,2022-04-14T07:00:00Z
Coleman County,48083,Texas,8175,468,"Brown, TX - Coleman, TX",56967,0,0,85.63,Low,2022-04-14T07:00:00Z
Richland County,17159,Illinois,15513,351,"Richland, IL - Clay, IL",44702,0.2,0,12.89,Low,2022-05-05T07:00:00Z
Lamoille County,50015,Vermont,25362,103,"Caledonia, VT - Orleans, VT",82392,3.3,7.3,90.69,Low,2022-06-09T07:00:00Z
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.2,11.6,313.56,High,2022-07-14T07:00:00Z
Jefferson County,19101,Iowa,18295,589,"Wapello, IA - Mahaska, IA",100356,2.8,5,54.66,Low,2022-03-10T07:00:00Z
Sandusky County,39143,Ohio,58518,366,"Lorain (Lorain), OH - Erie, OH",500883,2.4,7.2,99.11,Low,2022-07-07T07:00:00Z
Cumberland County,47035,Tennessee,60520,223,"Cumberland, TN - Fentress, TN",94107,6.7,0,277.59,Medium,2022-07-21T07:00:00Z
Robertson County,48395,Texas,17074,464,"Brazos (Bryan), TX - Washington, TX",329490,3.7,11.8,117.14,Medium,2022-08-25T07:00:00Z
Coal County,40029,Oklahoma,5495,478,"Pontotoc, OK - Seminole, OK",81316,0.4,3.7,18.2,Low,2022-05-12T07:00:00Z
Johnson County,05071,Arkansas,26578,522,"Johnson, AR",26578,2.9,15.1,158.03,Medium,2022-03-17T07:00:00Z
Delaware County,39041,Ohio,209177,281,"Franklin (Columbus), OH - Delaware, OH",1657646,3.3,11,156.81,Medium,2022-07-14T07:00:00Z
Ottawa County,20143,Kansas,5704,569,"Saline, KS - Ellsworth, KS",68992,0.6,5.8,35.06,Low,2022-05-19T07:00:00Z
Leflore County,28083,Mississippi,28183,487,"Bolivar, MS - Leflore, MS",91985,2.4,9.8,340.63,Medium,2022-08-25T07:00:00Z
Hancock County,13141,Georgia,8457,201,"Baldwin, GA - Putnam, GA",75466,0,1.3,59.12,Low,2022-05-19T07:00:00Z
Leelanau County,26089,Michigan,21761,271,"Grand Traverse, MI - Manistee, MI",198535,4.4,14.1,68.93,Medium,2022-08-11T07:00:00Z
Gila County,04007,Arizona,54018,699,"Maricopa (Phoenix), AZ - Pinal, AZ",5380796,2.4,6.5,98.12,Low,2022-06-02T07:00:00Z
Faribault County,27043,Minnesota,13653,646,"Freeborn, MN - Faribault, MN",43934,5.1,11.4,131.84,Medium,2022-07-21T07:00:00Z
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.2,6.1,194.09,Low,2022-05-05T07:00:00Z
Nemaha County,31127,Nebraska,6972,687,"Nemaha, NE",6972,0,0,43.03,Low,2022-05-05T07:00:00Z
Bond County,17005,Illinois,16426,299,"Madison (Alton), IL - Jersey, IL",305904,2.5,5.6,103.49,Low,2022-06-23T07:00:00Z
Cass County,29037,Missouri,105780,548,"Jackson (Kansas City), MO - Clay, MO",1310630,1.7,5.3,78.46,Low,2022-05-12T07:00:00Z
Prentiss County,28117,Mississippi,25126,418,"Lee, MS - Monroe, MS",186307,2.6,12.3,449.73,High,2022-08-18T07:00:00Z
Boone County,31011,Nebraska,5192,651,"Platte, NE - Boone, NE",42181,0.5,2.4,77.04,Low,2022-07-28T07:00:00Z
Habersham County,13137,Georgia,45328,157,"Hall, GA - Habersham, GA",396067,NA,0,41.92,Low,2022-03-10T07:00:00Z
Cross County,05037,Arkansas,16419,499,"Crittenden (West Memphis), AR - St. Francis, AR",98225,1.8,4.1,188.81,Low,2022-07-14T07:00:00Z
Upson County,13293,Georgia,26320,269,"Upson, GA - Lamar, GA",64359,9.2,15.5,292.55,High,2022-09-01T07:00:00Z
Hendricks County,18063,Indiana,170311,275,"Marion (Indianapolis), IN - Johnson, IN",1462435,2.7,7.9,150.9,Low,2022-07-14T07:00:00Z
Oxford County,23017,Maine,57975,95,"Androscoggin (Lewiston), ME - Oxford, ME",196451,4.6,12.7,270.81,High,2022-05-19T07:00:00Z
Fremont County,19071,Iowa,6960,644,"Page, IA - Fremont, IA",28188,0,0,0,Low,2022-04-28T07:00:00Z
Gallatin County,17059,Illinois,4828,384,"Saline, IL - Gallatin, IL",36317,0.2,0,0,Low,2022-04-14T07:00:00Z
Weber County,49057,Utah,260213,744,"Davis, UT - Weber (Ogden), UT",686347,1.9,7.3,0,Low,2022-06-02T07:00:00Z
Jessamine County,21113,Kentucky,54115,18,"Fayette (Lexington-Fayette), KY - Jessamine, KY",591673,2.7,7.1,9.24,Low,2022-04-07T07:00:00Z
Meagher County,30059,Montana,1862,778,"Wheatland, MT - Meagher, MT",3988,0,0,214.82,Medium,2022-06-23T07:00:00Z
Green Lake County,55047,Wisconsin,18913,306,"Winnebago (Oshkosh), WI - Fond du Lac, WI",406505,4.2,4.7,227.36,Medium,2022-07-14T07:00:00Z
Mitchell County,48335,Texas,8545,503,"Nolan, TX - Mitchell, TX",27089,0,0,0,Low,2022-04-21T07:00:00Z
Carbon County,30009,Montana,10725,691,"Yellowstone (Billings), MT - Big Horn, MT",210073,0.7,4.8,83.92,Low,2022-05-19T07:00:00Z
Logan County,21141,Kentucky,27102,29,"Warren, KY - Logan, KY",224914,1.8,4,125.45,Low,2022-06-09T07:00:00Z
Morgan County,18109,Indiana,70489,275,"Marion (Indianapolis), IN - Johnson, IN",1462435,1.1,2.1,8.51,Low,2022-04-07T07:00:00Z
Staunton City,51790,Virginia,24932,97,"Augusta, VA - Staunton City, VA",161807,0.9,1.9,148.4,Low,2022-05-05T07:00:00Z
Kent County,10001,Delaware,180786,3,"Sussex, DE - Kent, DE",596512,6,12.6,268.27,High,2022-06-16T07:00:00Z
Morrow County,41049,Oregon,11603,717,"Umatilla, OR - Walla Walla, WA",154298,0.4,1.9,43.09,Low,2022-04-21T07:00:00Z
Rockingham County,51165,Virginia,81948,63,"Rockingham, VA - Harrisonburg City, VA",165835,3,7.2,112.27,Low,2022-07-07T07:00:00Z
Hocking County,39073,Ohio,28264,368,"Fairfield (Lancaster), OH - Athens, OH",264250,6.1,9.5,187.52,Low,2022-02-24T07:00:00Z
Jackson County,39079,Ohio,32413,283,"Jackson, OH - Gallia, OH",111734,11.9,21.5,441.18,High,2022-08-04T07:00:00Z
Houston County,13153,Georgia,157863,193,"Bibb (Macon), GA - Houston, GA",456389,5.2,14.9,394.65,High,2022-07-28T07:00:00Z
Love County,40085,Oklahoma,10253,474,"Carter, OK - Marshall, OK",86380,1,1.2,48.77,Low,2022-06-09T07:00:00Z
Newberry County,45071,South Carolina,38440,160,"Richland (Columbia), SC - Lexington, SC",775296,1.5,4,20.81,Low,2022-03-24T07:00:00Z
Coal County,40029,Oklahoma,5495,478,"Pontotoc, OK - Seminole, OK",81316,4.8,22.1,309.37,High,2022-07-21T07:00:00Z
Henry County,18065,Indiana,47972,362,"Hancock, IN - Henry (New Castle), IN",126140,6.1,13.5,287.67,High,2022-08-11T07:00:00Z
Spink County,46115,South Dakota,6376,572,"Brown, SD - Spink, SD",64081,0,3.1,15.68,Low,2022-04-07T07:00:00Z
Genesee County,26049,Michigan,405813,328,"Genesee (Flint), MI - Lapeer, MI",493420,1,2.4,47.56,Low,2022-04-14T07:00:00Z
Kenedy County,48261,Texas,404,437,"Nueces (Corpus Christi), TX - San Patricio, TX",554557,2.8,8.3,0,Low,2022-05-05T07:00:00Z
St. Johns County,12109,Florida,264672,251,"St. Johns (St. Augustine), FL - Putnam, FL",339193,5.1,9.4,165.11,Low,2022-09-01T07:00:00Z
Dickinson County,26043,Michigan,25239,315,"Marinette, WI - Dickinson, MI",103730,5.8,9.6,67.36,Low,2022-03-03T07:00:00Z
Alfalfa County,40003,Oklahoma,5702,429,"Garfield (Enid), OK - Kingfisher, OK",112707,1.8,7.1,17.54,Low,2022-08-04T07:00:00Z
Sawyer County,55113,Wisconsin,16558,357,"Ashland, WI - Sawyer, WI",60507,2.4,6.6,217.42,Medium,2022-06-30T07:00:00Z
St. Helena Parish,22091,Louisiana,10132,423,"Tangipahoa, LA - St. Helena, LA",144890,1.5,6.9,187.52,Low,2022-09-01T07:00:00Z
Amite County,28005,Mississippi,12297,477,"Pike, MS - Marion, MS",90444,6.9,22.1,260.23,High,2022-07-21T07:00:00Z
Crockett County,47033,Tennessee,14230,188,"Madison (Jackson), TN - Gibson, TN",260778,1.8,2.3,91.36,Low,2022-06-02T07:00:00Z
Camas County,16025,Idaho,1106,808,"Blaine, ID - Camas, ID",24127,0.6,4.1,90.42,Low,2022-08-11T07:00:00Z
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,8.5,18.2,253.55,High,2022-07-28T07:00:00Z
Fayette County,54019,West Virginia,42406,60,"Raleigh, WV - Fayette, WV",148734,6.4,12.8,146.21,Medium,2022-03-17T07:00:00Z
Washtenaw County,26161,Michigan,367601,274,"Wayne (Detroit), MI - Oakland, MI",4440495,4.1,10,313.66,High,2022-06-09T07:00:00Z
Richmond County,13245,Georgia,202518,152,"Richmond (South Augusta), GA - Aiken, SC",648284,5.4,12,336.27,High,2022-08-04T07:00:00Z
Hart County,13147,Georgia,26205,216,"Stephens, GA - Hart, GA",75479,2.4,10.6,57.24,Medium,2022-07-07T07:00:00Z
Warren County,28149,Mississippi,45381,431,"Warren, MS - Madison, LA",65320,0.6,0,13.22,Low,2022-04-07T07:00:00Z
Platte County,29165,Missouri,104418,548,"Jackson (Kansas City), MO - Clay, MO",1310630,1.7,5.3,47.88,Low,2022-05-12T07:00:00Z
Arroyo Muni,72015,Puerto Rico,17238,904,Puerto Rico,3193694,3.9,6.3,539.51,Medium,2022-07-28T07:00:00Z
Hill County,30041,Montana,16484,712,"Hill, MT - Blaine, MT",29456,0.7,6.8,121.33,Low,2022-07-14T07:00:00Z
Harvey County,20079,Kansas,34429,576,"Sedgwick (Wichita), KS - Butler, KS",687010,2.3,10.9,278.83,High,2022-08-11T07:00:00Z
Washington County,44009,Rhode Island,125577,20,"Providence (Providence), RI - New London, CT",1242485,4,5.9,245.27,Medium,2022-06-09T07:00:00Z
Coamo Muni,72043,Puerto Rico,38336,904,Puerto Rico,3193694,0.6,2.1,200.86,Medium,2022-04-14T07:00:00Z
Cumberland County,47035,Tennessee,60520,223,"Cumberland, TN - Fentress, TN",94107,5.7,0,194.98,Low,2022-07-07T07:00:00Z
Elko County,32007,Nevada,52778,720,"Elko, NV - Lander, NV",60339,8,9.9,164.84,Low,2022-07-14T07:00:00Z
Calhoun County,28013,Mississippi,14361,459,"Lafayette, MS - Calhoun, MS",80488,3.6,8.7,208.9,Medium,2022-06-23T07:00:00Z
Warren County,37185,North Carolina,19731,170,"Durham (Durham), NC - Granville, NC",485687,8.9,18.7,248.34,High,2022-03-03T07:00:00Z
Addison County,50001,Vermont,36777,49,"Chittenden (Burlington), VT - Franklin, VT",257188,1.3,5.1,111.48,Low,2022-07-21T07:00:00Z
Lee County,48287,Texas,17239,425,"Travis (Austin), TX - Williamson, TX",2040417,1.4,2.1,29,Low,2022-04-07T07:00:00Z
Morgan County,29141,Missouri,20627,656,"Pettis, MO - Saline, MO",105170,2,1.9,67.87,Low,2022-06-02T07:00:00Z
Bell County,48027,Texas,362924,452,"Bell (Killeen), TX - Coryell, TX",485126,0.7,1.9,13.5,Low,2022-04-21T07:00:00Z
Roane County,47145,Tennessee,53382,226,"Anderson (Oak Ridge), TN - Roane, TN",224772,6.2,9.3,286.61,Medium,2022-08-18T07:00:00Z
Perry County,29157,Missouri,19136,563,"Cape Girardeau, MO - Butler, MO",310071,3.7,3.5,172.45,Low,2022-03-10T07:00:00Z
Fulton County,39051,Ohio,42126,276,"Lucas (Toledo), OH - Monroe, MI",792316,4.7,12,163.79,Medium,2022-06-23T07:00:00Z
Dickinson County,26043,Michigan,25239,315,"Marinette, WI - Dickinson, MI",103730,6.2,6.7,273.39,Medium,2022-07-28T07:00:00Z
Monroe County,01099,Alabama,20733,161,"Mobile (Mobile), AL - Baldwin, AL",697125,0.3,2.4,0,Low,2022-05-19T07:00:00Z
Jones County,28067,Mississippi,68098,455,"Jones, MS - Wayne, MS",120580,1.4,3.3,41.12,Low,2022-05-19T07:00:00Z
Perkins County,46105,South Dakota,2865,640,"Perkins, SD - Bowman, ND",12652,0,0,0,Low,2022-05-19T07:00:00Z
Webster Parish,22119,Louisiana,38340,416,"Caddo (Shreveport), LA - Bossier, LA",503530,1.1,9.7,83.46,Low,2022-06-02T07:00:00Z
Covington County,01039,Alabama,37049,171,"Montgomery (Montgomery), AL - Autauga, AL",386117,8,15.5,99.87,Medium,2022-02-24T07:00:00Z
Clay County,13061,Georgia,2834,144,"Dougherty (Albany), GA - Lee, GA",175755,14.5,24.5,282.29,High,2022-07-28T07:00:00Z
Schenectady County,36093,New York,155299,88,"Saratoga, NY - Schenectady (Schenectady), NY",514726,4.3,7.6,174.5,Low,2022-07-28T07:00:00Z
Nacogdoches County,48347,Texas,65204,447,"Nacogdoches, TX - Shelby, TX",109257,11,9.2,165.63,Medium,2022-02-24T07:00:00Z
Lincoln County,27081,Minnesota,5639,609,"Lyon, MN - Lincoln, MN",31113,0,0,17.73,Low,2022-04-28T07:00:00Z
Livingston County,26093,Michigan,191995,274,"Wayne (Detroit), MI - Oakland, MI",4440495,4.8,13.3,218.23,High,2022-08-18T07:00:00Z
Taylor County,12123,Florida,21569,183,"Leon (Tallahassee), FL - Gadsden, FL",447768,2.9,10.9,264.27,High,2022-09-01T07:00:00Z
Richmond County,36085,New York,476143,94,"Kings (New York), NY - Queens, NY",8336817,6.4,12.9,404.29,High,2022-07-28T07:00:00Z
La Paz County,04012,Arizona,21108,787,"Yuma, AZ - La Paz, AZ",234895,4.2,16.6,213.19,High,2022-06-30T07:00:00Z
Dodge County,31053,Nebraska,36565,542,"Douglas (Omaha), NE - Sarpy, NE",889657,3,4.4,84.78,Low,2022-03-31T07:00:00Z
Pinellas County,12103,Florida,974996,227,"Hillsborough (Tampa), FL - Pinellas, FL",3194831,3.3,14,246.36,High,2022-05-26T07:00:00Z
Somervell County,48425,Texas,9128,434,"Tarrant (Fort Worth), TX - Johnson, TX",2491981,6.4,12.8,87.64,Medium,2022-03-03T07:00:00Z
Glascock County,13125,Georgia,2971,152,"Richmond (South Augusta), GA - Aiken, SC",648284,5.2,10.3,269.27,High,2022-08-25T07:00:00Z
Stoddard County,29207,Missouri,29025,563,"Cape Girardeau, MO - Butler, MO",310071,0.2,0.3,24.12,Low,2022-04-28T07:00:00Z
Calhoun County,48057,Texas,21290,433,"Victoria (Victoria), TX - Calhoun, TX",183054,1.2,1.6,61.06,Low,2022-03-31T07:00:00Z
Cherokee County,01019,Alabama,26196,224,"Etowah (Gadsden), AL - Marshall, AL",296751,0.4,1.7,30.54,Low,2022-05-12T07:00:00Z
Pleasants County,54073,West Virginia,7460,34,"Wood (Parkersburg), WV - Washington, OH",215637,3.6,7.4,13.4,Low,2022-03-31T07:00:00Z
Scotland County,29199,Missouri,4902,566,"Adair, MO - Sullivan, MO",49649,2,6,122.4,Low,2022-07-14T07:00:00Z
Perry County,17145,Illinois,20916,331,"Williamson, IL - Jackson, IL",182732,8.6,23.5,305.99,High,2022-02-24T07:00:00Z
Adair County,29001,Missouri,25343,566,"Adair, MO - Sullivan, MO",49649,0,0,23.68,Low,2022-03-24T07:00:00Z
Wichita County,48485,Texas,132230,420,"Wichita (Wichita Falls), TX - Montague, TX",197756,5,10.6,238.98,High,2022-07-28T07:00:00Z
United States Virgin Islands,78000,United States Virgin Islands,106290,905,United States Virgin Islands,106290,2.4,0.9,78.09,Low,2022-03-03T07:00:00Z
Island County,53029,Washington,85141,736,"King (Seattle), WA - Snohomish, WA",3578266,5.7,6.2,91.61,Low,2022-08-18T07:00:00Z
Decatur County,18031,Indiana,26559,313,"Bartholomew, IN - Jackson, IN",182304,5.8,20.3,289.92,High,2022-07-28T07:00:00Z
Johnson County,47091,Tennessee,17788,194,"Watauga, NC - Ashe, NC",101168,2.4,3,123.68,Low,2022-06-30T07:00:00Z
Benzie County,26019,Michigan,17766,271,"Grand Traverse, MI - Manistee, MI",198535,4.8,18.6,135.09,Medium,2022-05-26T07:00:00Z
Taney County,29213,Missouri,55928,676,"Taney, MO",55928,8.8,17.9,155.56,Medium,2022-09-01T07:00:00Z
Schley County,13249,Georgia,5257,166,"Muscogee (Columbus), GA - Russell, AL",328912,2.9,5.2,19.02,Low,2022-06-02T07:00:00Z
Columbia County,55021,Wisconsin,57532,301,"Dane (Madison), WI - Sauk, WI",776612,1.9,5.9,222.48,Medium,2022-05-05T07:00:00Z
Wichita County,20203,Kansas,2119,643,"Wichita, KS - Greeley, KS",3351,1.0,0.0,235.96,Medium,2022-09-01T07:00:00Z
Windham County,50025,Vermont,42222,90,"Cheshire, NH - Windham, VT",118307,5.2,2.5,149.21,Low,2022-07-21T07:00:00Z
Kauai County,15007,Hawaii,72293,822,"Kauai, HI",72293,4.8,8.3,157.69,Low,2022-09-01T07:00:00Z
Newport County,44005,Rhode Island,82082,68,"Bristol (New Bedford), MA - Newport, RI",647299,3.3,7.4,104.77,Low,2022-07-14T07:00:00Z
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.9,13.3,229.0,High,2022-09-01T07:00:00Z
Screven County,13251,Georgia,13966,222,"Bulloch, GA - Emanuel, GA",127023,3,1.6,21.48,Low,2022-03-10T07:00:00Z
Grayson County,48181,Texas,136212,436,"Grayson (Sherman), TX - Bryan, OK",233479,2.9,3,16.15,Low,2022-03-17T07:00:00Z
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,2.7,5.5,126.4,Low,2022-06-16T07:00:00Z
Coos County,41011,Oregon,64487,738,"Coos, OR - Del Norte, CA",115224,6.2,13.9,249.66,High,2022-08-11T07:00:00Z
Dunn County,55033,Wisconsin,45368,298,"Eau Claire (Eau Claire), WI - Chippewa, WI",234990,5.5,11.1,176.34,Medium,2022-08-04T07:00:00Z
Prairie County,30079,Montana,1077,714,"Custer, MT - Fallon, MT",19517,0.3,0,92.85,Low,2022-04-14T07:00:00Z
Bay County,26017,Michigan,103126,342,"Bay (Bay City), MI - Iosco, MI",172374,2.9,9.3,132.85,Low,2022-07-28T07:00:00Z
Guernsey County,39059,Ohio,38875,377,"Muskingum, OH - Guernsey, OH",226756,6.4,10.6,187.78,Medium,2022-06-30T07:00:00Z
Iberville Parish,22047,Louisiana,32511,419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA",822861,3.2,7.7,513.67,Medium,2022-07-14T07:00:00Z
Starke County,18149,Indiana,22995,378,"La Porte, IN - Starke, IN",132883,1.3,0.8,56.53,Low,2022-03-10T07:00:00Z
Pacific County,53049,Washington,22471,758,"Thurston (Olympia), WA - Lewis, WA",535543,8.5,11,146.86,Medium,2022-07-07T07:00:00Z
Howard County,31093,Nebraska,6445,555,"Hall, NE - Hamilton, NE",87233,2.7,12.6,15.52,Medium,2022-07-21T07:00:00Z
