county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Macomb County,26099,Michigan,873972,274,"Wayne (Detroit), MI - Oakland, MI",4440495,2.3,4.8,114.65,Low,2022-03-24T07:00:00Z
Tate County,28137,Mississippi,28321,146,"Shelby (Memphis), TN - DeSoto, MS",1340541,3.4,2.5,141.24,Low,2022-03-10T07:00:00Z
Howard County,29089,Missouri,10001,553,"Boone (Columbia), MO - Randolph, MO",261394,4.3,6.9,30,Low,2022-03-10T07:00:00Z
Laclede County,29105,Missouri,35723,549,"Greene (Springfield), MO - Christian, MO",695270,2.6,6.9,81.18,Low,2022-06-16T07:00:00Z
Seminole County,12117,Florida,471826,142,"Orange (Orlando), FL - Volusia, FL",3033181,6.1,15.7,259.42,High,2022-06-23T07:00:00Z
Kiowa County,08061,Colorado,1406,745,"Otero, CO - Prowers, CO",43494,0,0,142.25,Low,2022-03-10T07:00:00Z
Polk County,12105,Florida,724777,202,"Polk (Lakeland), FL - Highlands, FL",857935,4.6,15.9,261.74,High,2022-09-01T07:00:00Z
Benton County,47005,Tennessee,16160,115,"Calloway, KY - Henry, TN",115273,4.8,9.5,222.77,Medium,2022-08-11T07:00:00Z
Boone County,29019,Missouri,180463,553,"Boone (Columbia), MO - Randolph, MO",261394,0.8,1.1,69.27,Low,2022-04-21T07:00:00Z
Piute County,49031,Utah,1479,707,"Clark (Las Vegas), NV - Washington, UT",2511266,3.7,8.6,67.61,Low,2022-08-11T07:00:00Z
Muscogee County,13215,Georgia,195769,166,"Muscogee (Columbus), GA - Russell, AL",328912,7.5,13.7,159.37,Medium,2022-08-11T07:00:00Z
Ward County,48475,Texas,11998,444,"Ector (Odessa), TX - Reeves, TX",207004,2.6,9.7,191.7,Low,2022-07-14T07:00:00Z
Claiborne County,28021,Mississippi,8988,431,"Warren, MS - Madison, LA",65320,1.7,1.5,100.13,Low,2022-02-24T07:00:00Z
Swain County,37173,North Carolina,14271,209,"Jackson, NC - Macon, NC",102508,2.5,2.9,231.24,Medium,2022-07-14T07:00:00Z
Tunica County,28143,Mississippi,9632,146,"Shelby (Memphis), TN - DeSoto, MS",1340541,4.3,10.2,301.08,High,2022-06-16T07:00:00Z
Campbell County,46021,South Dakota,1376,648,"Dewey, SD - Walworth, SD",18942,0.3,5.3,0.0,Low,2022-09-01T07:00:00Z
Presque Isle County,26141,Michigan,12592,371,"Alpena, MI - Presque Isle, MI",60730,18.6,13.2,0,High,2022-03-10T07:00:00Z
Gosper County,31073,Nebraska,1990,570,"Buffalo, NE - Dawson, NE",90346,3.0,12.2,50.25,Medium,2022-08-25T07:00:00Z
Clarendon County,45027,South Carolina,33745,196,"Sumter, SC - Clarendon, SC",157294,1,3.2,118.54,Low,2022-06-23T07:00:00Z
Clarion County,42031,Pennsylvania,38438,52,"Venango, PA - Clarion, PA",96353,0.4,5.2,15.61,Low,2022-04-14T07:00:00Z
Warrick County,18173,Indiana,62998,273,"Vanderburgh (Evansville), IN - Warrick, IN",335332,1.1,7.8,165.08,Low,2022-06-02T07:00:00Z
Panola County,48365,Texas,23194,454,"Gregg (Longview), TX - Rusk, TX",243298,3.2,0.8,155.21,Low,2022-03-10T07:00:00Z
White County,17193,Illinois,13537,383,"White, IL - Hamilton, IL",21653,0,0,44.32,Low,2022-05-05T07:00:00Z
Morgan County,13211,Georgia,19276,164,"Clarke (Athens), GA - Barrow, GA",407567,6.3,15.2,238.64,High,2022-08-04T07:00:00Z
Aroostook County,23003,Maine,67055,136,"Aroostook, ME",67055,2.7,4.5,95.44,Low,2022-06-30T07:00:00Z
Dickinson County,19059,Iowa,17258,625,"Clay, IA - Dickinson, IA",42160,0.1,7.1,139.07,Low,2022-07-14T07:00:00Z
Bee County,48025,Texas,32565,513,"Bee, TX - Karnes, TX",48166,2.3,4.2,294.8,Medium,2022-07-21T07:00:00Z
Trousdale County,47169,Tennessee,11284,231,"Sumner (Hendersonville), TN - Wilson, TN",391983,3.8,4.6,115.21,Low,2022-06-16T07:00:00Z
Perry County,17145,Illinois,20916,331,"Williamson, IL - Jackson, IL",182732,5.1,27.9,325.11,High,2022-07-21T07:00:00Z
Nance County,31125,Nebraska,3519,651,"Platte, NE - Boone, NE",42181,5.8,4.7,56.83,Low,2022-07-14T07:00:00Z
Douglas County,41019,Oregon,110980,782,"Lane (Eugene), OR - Douglas, OR",493047,5.9,13.4,350.51,High,2022-08-04T07:00:00Z
Philadelphia County,42101,Pennsylvania,1584064,28,"Philadelphia (Philadelphia), PA - Montgomery, PA",4134985,1.9,6.2,100.63,Low,2022-05-05T07:00:00Z
Santa Isabel Muni,72133,Puerto Rico,21209,904,Puerto Rico,3193694,1.3,4.7,240.46,Medium,2022-04-21T07:00:00Z
Cassia County,16031,Idaho,24030,730,"Cassia, ID - Minidoka, ID",45069,0,0,4.16,Low,2022-05-12T07:00:00Z
Walthall County,28147,Mississippi,14286,477,"Pike, MS - Marion, MS",90444,7.8,16.6,447.99,High,2022-07-28T07:00:00Z
Wadena County,27159,Minnesota,13682,612,"Crow Wing, MN - Cass, MN",145893,7.1,11.7,255.81,High,2022-07-21T07:00:00Z
Gilmer County,54021,West Virginia,7823,92,"Harrison, WV - Upshur, WV",137567,7.5,22.5,357.92,High,2022-08-25T07:00:00Z
Pike County,39131,Ohio,27772,337,"Scioto, OH - Ross, OH",193027,0,0,10.8,Low,2022-04-21T07:00:00Z
Kittson County,27069,Minnesota,4298,604,"Pennington, MN - Marshall, MN",31808,1.3,9.4,279.2,Medium,2022-08-18T07:00:00Z
Indian River County,12061,Florida,159923,237,"Brevard (Palm Bay), FL - Indian River, FL",761865,2,4.5,130.69,Low,2022-05-05T07:00:00Z
Hardin County,48199,Texas,57602,413,"Jefferson (Beaumont), TX - Orange, TX",463359,0.6,1.9,13.89,Low,2022-05-19T07:00:00Z
Mahaska County,19123,Iowa,22095,589,"Wapello, IA - Mahaska, IA",100356,0.4,3,99.57,Low,2022-05-19T07:00:00Z
Coos County,33007,New Hampshire,31563,138,"Coos, NH - Essex, VT",37726,0,0,262.97,Medium,2022-04-14T07:00:00Z
Blaine County,16013,Idaho,23021,808,"Blaine, ID - Camas, ID",24127,0.6,4.1,117.28,Low,2022-08-11T07:00:00Z
Norman County,27107,Minnesota,6375,547,"Cass (Fargo), ND - Clay, MN",346542,2.2,6.1,47.06,Low,2022-07-14T07:00:00Z
Campbell County,56005,Wyoming,46341,586,"Campbell, WY - Lawrence, SD",79769,0,0,30.21,Low,2022-05-26T07:00:00Z
Stanton County,31167,Nebraska,5920,577,"Madison, NE - Wayne, NE",63850,5.5,15.7,101.35,Medium,2022-07-21T07:00:00Z
Hancock County,23009,Maine,54987,17,"Penobscot (Bangor), ME - Hancock, ME",255299,2.3,10.6,87.29,Medium,2022-04-14T07:00:00Z
Braxton County,54007,West Virginia,13957,92,"Harrison, WV - Upshur, WV",137567,14,32,694.99,High,2022-03-03T07:00:00Z
Northampton County,42095,Pennsylvania,305285,84,"Lehigh (Allentown), PA - Northampton, PA",909056,2.4,11.2,158.21,Medium,2022-09-01T07:00:00Z
Stark County,39151,Ohio,370606,347,"Stark (Canton), OH - Wayne, OH",649177,2.2,6.5,111.17,Low,2022-05-19T07:00:00Z
Chemung County,36015,New York,83456,65,"Steuben, NY - Chemung (Elmira), NY",196642,4.6,9.2,61.11,Low,2022-06-23T07:00:00Z
Coos County,33007,New Hampshire,31563,138,"Coos, NH - Essex, VT",37726,2.9,15.9,107.72,Medium,2022-06-16T07:00:00Z
Ashe County,37009,North Carolina,27203,194,"Watauga, NC - Ashe, NC",101168,0.2,1,55.14,Low,2022-04-14T07:00:00Z
Lavaca County,48285,Texas,20154,433,"Victoria (Victoria), TX - Calhoun, TX",183054,3.2,13.7,114.12,Medium,2022-09-01T07:00:00Z
Titus County,48449,Texas,32750,465,"Titus, TX - Morris, TX",68957,0.4,0,33.59,Low,2022-04-14T07:00:00Z
Maunabo Muni,72095,Puerto Rico,10321,904,Puerto Rico,3193694,3.9,8.4,542.58,Medium,2022-08-11T07:00:00Z
Faribault County,27043,Minnesota,13653,646,"Freeborn, MN - Faribault, MN",43934,3.3,4.6,29.3,Low,2022-03-24T07:00:00Z
Tom Green County,48451,Texas,119200,426,"Tom Green (San Angelo), TX - Runnels, TX",162408,0.3,3.7,91.44,Low,2022-06-02T07:00:00Z
